state,event_year,total_crashes,total_injuries
New Mexico,1985,58,56
New York,1985,66,48
North Carolina,1985,47,48
North Dakota,1985,21,8
Ohio,1985,61,46
Oklahoma,1985,44,45
Oregon,1985,55,43
Other Foreign,1985,0,0
Pacific Ocean,1985,0,0
Pennsylvania,1985,63,67
Puerto Rico,1985,0,0
Rhode Island,1985,0,0
South Carolina,1985,31,24
South Dakota,1985,14,15
Tennessee,1985,27,39
Texas,1985,192,146
Utah,1985,34,32
Vermont,1985,0,0
Virginia,1985,25,44
Washington,1985,66,50
West Virginia,1985,17,23
Wisconsin,1985,58,55
Wyoming,1985,17,13
Alabama,1986,42,31
Alaska,1986,122,70
Arizona,1986,64,65
Arkansas,1986,43,16
Atlantic Ocean,1986,0,0
California,1986,276,303
Caribbean Sea,1986,0,0
Colorado,1986,64,71
Connecticut,1986,0,0
Delaware,1986,3,1
District of Columbia,1986,1,1
Florida,1986,151,124
Georgia,1986,43,58
Gulf of Mexico,1986,0,0
Hawaii,1986,20,32
Idaho,1986,46,57
Illinois,1986,60,55
Indiana,1986,52,41
Iowa,1986,25,13
Kansas,1986,50,21
Kentucky,1986,19,10
Louisiana,1986,39,26
Maine,1986,0,0
Maryland,1986,25,26
Massachusetts,1986,0,0
Michigan,1986,80,70
Minnesota,1986,42,36
Mississippi,1986,25,17
Missouri,1986,45,20
Montana,1986,32,29
Nebraska,1986,27,18
Nevada,1986,31,33
New Hampshire,1986,0,0
New Jersey,1986,0,0
New Mexico,1986,31,37
New York,1986,57,63
North Carolina,1986,52,59
North Dakota,1986,25,16
Ohio,1986,54,46
Oklahoma,1986,38,42
Oregon,1986,45,43
Other Foreign,1986,0,0
Pacific Ocean,1986,0,0
Pennsylvania,1986,48,45
Puerto Rico,1986,0,0
Rhode Island,1986,0,0
South Carolina,1986,23,7
South Dakota,1986,14,10
Tennessee,1986,26,22
Texas,1986,159,130
Utah,1986,30,24
Vermont,1986,0,0
Virginia,1986,29,41
Washington,1986,90,77
West Virginia,1986,7,7
Wisconsin,1986,53,33
Wyoming,1986,30,38
Alabama,1987,37,30
Alaska,1987,122,111
Arizona,1987,64,66
Arkansas,1987,45,26
Atlantic Ocean,1987,0,0
California,1987,261,304
Caribbean Sea,1987,0,0
Colorado,1987,85,148
Connecticut,1987,0,0
Delaware,1987,4,2
District of Columbia,1987,2,4
Florida,1987,135,90
Georgia,1987,53,43
Gulf of Mexico,1987,0,0
Hawaii,1987,26,40
Idaho,1987,25,15
Illinois,1987,58,36
Indiana,1987,50,34
Iowa,1987,30,21
Kansas,1987,32,16
Kentucky,1987,27,25
Louisiana,1987,29,15
Maine,1987,0,0
Maryland,1987,30,19
Massachusetts,1987,0,0
Michigan,1987,52,238
Minnesota,1987,38,32
Mississippi,1987,29,16
Missouri,1987,55,39
Montana,1987,26,29
Nebraska,1987,19,13
Nevada,1987,20,19
New Hampshire,1987,0,0
New Jersey,1987,0,0
New Mexico,1987,34,25
New York,1987,64,42
North Carolina,1987,43,39
North Dakota,1987,34,18
Ohio,1987,66,49
Oklahoma,1987,42,22
Oregon,1987,38,42
Other Foreign,1987,0,0
Pacific Ocean,1987,0,0
Pennsylvania,1987,51,37
Puerto Rico,1987,0,0
Rhode Island,1987,0,0
South Carolina,1987,25,15
South Dakota,1987,11,7
Tennessee,1987,36,23
Texas,1987,160,129
Utah,1987,35,49
Vermont,1987,0,0
Virginia,1987,26,15
Washington,1987,69,53
West Virginia,1987,8,16
Wisconsin,1987,47,42
Wyoming,1987,15,18
Alabama,1988,26,17
Alaska,1988,128,79
Arizona,1988,37,43
Arkansas,1988,55,39
Atlantic Ocean,1988,0,0
California,1988,248,238
Caribbean Sea,1988,0,0
Colorado,1988,64,66
Connecticut,1988,0,0
Delaware,1988,5,2
District of Columbia,1988,1,0
Florida,1988,129,116
Georgia,1988,29,35
Gulf of Mexico,1988,0,0
Hawaii,1988,9,6
Idaho,1988,28,30
Illinois,1988,49,23
Indiana,1988,51,45
Iowa,1988,24,14
Kansas,1988,33,23
Kentucky,1988,19,23
Louisiana,1988,31,18
Maine,1988,0,0
Maryland,1988,22,20
Massachusetts,1988,0,0
Michigan,1988,53,38
Minnesota,1988,41,29
Mississippi,1988,25,18
Missouri,1988,62,49
Montana,1988,23,18
Nebraska,1988,15,13
Nevada,1988,23,28
New Hampshire,1988,0,0
New Jersey,1988,0,0
New Mexico,1988,35,38
New York,1988,63,67
North Carolina,1988,39,41
North Dakota,1988,2,0
Ohio,1988,44,24
Oklahoma,1988,33,30
Oregon,1988,38,42
Other Foreign,1988,0,0
Pacific Ocean,1988,1,2
Pennsylvania,1988,59,54
Puerto Rico,1988,0,0
Rhode Island,1988,0,0
South Carolina,1988,34,24
South Dakota,1988,8,3
Tennessee,1988,28,39
Texas,1988,122,115
Utah,1988,23,21
Vermont,1988,0,0
Virginia,1988,34,21
Washington,1988,77,89
West Virginia,1988,20,25
Wisconsin,1988,36,25
Wyoming,1988,18,17
Alabama,1989,31,29
Alaska,1989,112,61
Arizona,1989,63,83
Arkansas,1989,44,34
Atlantic Ocean,1989,0,0
California,1989,241,199
Caribbean Sea,1989,0,0
Colorado,1989,69,66
Connecticut,1989,0,0
Delaware,1989,4,1
District of Columbia,1989,0,0
Florida,1989,116,85
Georgia,1989,31,38
Gulf of Mexico,1989,0,0
Hawaii,1989,12,69
Idaho,1989,22,21
Illinois,1989,48,37
Indiana,1989,34,31
Iowa,1989,20,15
Kansas,1989,14,36
Kentucky,1989,7,15
Louisiana,1989,32,22
Maine,1989,0,0
Maryland,1989,27,39
Massachusetts,1989,0,0
Michigan,1989,56,53
Minnesota,1989,47,33
Mississippi,1989,33,28
Missouri,1989,45,23
Montana,1989,24,17
Nebraska,1989,21,21
Nevada,1989,35,26
New Hampshire,1989,0,0
New Jersey,1989,1,1
New Mexico,1989,31,34
New York,1989,59,73
North Carolina,1989,41,33
North Dakota,1989,13,5
Ohio,1989,60,49
Oklahoma,1989,28,25
Oregon,1989,43,37
Other Foreign,1989,0,0
Pacific Ocean,1989,0,0
Pennsylvania,1989,42,46
Puerto Rico,1989,0,0
Rhode Island,1989,0,0
South Carolina,1989,26,20
South Dakota,1989,6,3
Tennessee,1989,20,29
Texas,1989,114,121
Utah,1989,36,32
Vermont,1989,0,0
Virginia,1989,21,22
Washington,1989,69,44
West Virginia,1989,9,13
Wisconsin,1989,38,33
Wyoming,1989,12,7
Alabama,1990,28,28
Alaska,1990,157,98
Arizona,1990,55,69
Arkansas,1990,60,35
Atlantic Ocean,1990,0,0
California,1990,278,289
Caribbean Sea,1990,0,0
Colorado,1990,72,60
Connecticut,1990,1,0
Delaware,1990,1,3
District of Columbia,1990,0,0
Florida,1990,102,77
Georgia,1990,43,34
Gulf of Mexico,1990,0,0
Hawaii,1990,10,5
Idaho,1990,29,27
Illinois,1990,57,38
Indiana,1990,38,19
Iowa,1990,22,15
Kansas,1990,34,25
Kentucky,1990,16,14
Louisiana,1990,32,24
Maine,1990,0,0
Maryland,1990,29,26
Massachusetts,1990,0,0
Michigan,1990,79,111
Minnesota,1990,42,26
Mississippi,1990,15,7
Missouri,1990,40,23
Montana,1990,31,20
Nebraska,1990,13,6
Nevada,1990,27,37
New Hampshire,1990,0,0
New Jersey,1990,0,0
New Mexico,1990,28,30
New York,1990,57,56
North Carolina,1990,41,26
North Dakota,1990,17,12
Ohio,1990,47,35
Oklahoma,1990,26,29
Oregon,1990,46,51
Other Foreign,1990,0,0
Pacific Ocean,1990,0,0
Pennsylvania,1990,57,49
Puerto Rico,1990,0,0
Rhode Island,1990,0,0
South Carolina,1990,18,15
South Dakota,1990,14,16
Tennessee,1990,28,21
Texas,1990,124,101
Utah,1990,30,29
Vermont,1990,0,0
Virginia,1990,31,41
Washington,1990,74,67
West Virginia,1990,14,17
Wisconsin,1990,40,47
Wyoming,1990,18,22
Alabama,1991,28,44
Alaska,1991,170,95
Arizona,1991,63,67
Arkansas,1991,46,36
Atlantic Ocean,1991,0,0
California,1991,244,238
Caribbean Sea,1991,0,0
Colorado,1991,79,67
Connecticut,1991,0,0
Delaware,1991,4,4
District of Columbia,1991,0,0
Florida,1991,123,105
Georgia,1991,47,71
Gulf of Mexico,1991,0,0
Hawaii,1991,17,19
Idaho,1991,29,25
Illinois,1991,55,38
Indiana,1991,30,29
Iowa,1991,21,16
Kansas,1991,24,12
Kentucky,1991,8,3
Louisiana,1991,21,8
Maine,1991,0,0
Maryland,1991,19,21
Massachusetts,1991,0,0
Michigan,1991,59,45
Minnesota,1991,55,41
Mississippi,1991,20,13
Missouri,1991,30,18
Montana,1991,28,26
Nebraska,1991,23,7
Nevada,1991,30,30
New Hampshire,1991,1,1
New Jersey,1991,0,0
New Mexico,1991,31,21
New York,1991,55,54
North Carolina,1991,48,48
North Dakota,1991,12,1
Ohio,1991,46,46
Oklahoma,1991,28,29
Oregon,1991,50,47
Other Foreign,1991,0,0
Pacific Ocean,1991,0,0
Pennsylvania,1991,42,53
Puerto Rico,1991,0,0
Rhode Island,1991,0,0
South Carolina,1991,19,18
South Dakota,1991,11,9
Tennessee,1991,23,28
Texas,1991,111,110
Utah,1991,27,20
Vermont,1991,0,0
Virginia,1991,28,24
Washington,1991,92,97
West Virginia,1991,12,30
Wisconsin,1991,42,34
Wyoming,1991,18,15
Alabama,1992,38,38
Alaska,1992,178,107
Arizona,1992,68,63
Arkansas,1992,54,28
Atlantic Ocean,1992,0,0
California,1992,228,209
Caribbean Sea,1992,0,0
Colorado,1992,86,94
Connecticut,1992,0,0
Delaware,1992,5,9
District of Columbia,1992,0,0
Florida,1992,87,81
Georgia,1992,41,34
Gulf of Mexico,1992,0,0
Hawaii,1992,16,41
Idaho,1992,33,29
Illinois,1992,57,46
Indiana,1992,25,16
Iowa,1992,20,20
Kansas,1992,22,12
Kentucky,1992,23,26
Louisiana,1992,21,16
Maine,1992,1,2
Maryland,1992,24,21
Massachusetts,1992,1,2
Michigan,1992,58,38
Minnesota,1992,24,16
Mississippi,1992,18,14
Missouri,1992,35,30
Montana,1992,27,29
Nebraska,1992,18,18
Nevada,1992,29,32
New Hampshire,1992,0,0
New Jersey,1992,0,0
New Mexico,1992,23,33
New York,1992,30,37
North Carolina,1992,41,33
North Dakota,1992,16,10
Ohio,1992,53,37
Oklahoma,1992,33,38
Oregon,1992,48,43
Other Foreign,1992,0,0
Pacific Ocean,1992,0,0
Pennsylvania,1992,43,40
Puerto Rico,1992,0,0
Rhode Island,1992,0,0
South Carolina,1992,28,14
South Dakota,1992,9,9
Tennessee,1992,23,24
Texas,1992,107,70
Utah,1992,25,21
Vermont,1992,0,0
Virginia,1992,26,26
Washington,1992,76,66
West Virginia,1992,15,19
Wisconsin,1992,35,37
Wyoming,1992,16,11
Alabama,1993,31,17
Alaska,1993,182,99
Arizona,1993,62,62
Arkansas,1993,51,32
Atlantic Ocean,1993,0,0
California,1993,225,198
Caribbean Sea,1993,0,0
Colorado,1993,63,79
Connecticut,1993,0,0
Delaware,1993,1,1
District of Columbia,1993,0,0
Florida,1993,109,114
Georgia,1993,30,47
Gulf of Mexico,1993,0,0
Hawaii,1993,7,7
Idaho,1993,24,13
Illinois,1993,52,45
Indiana,1993,33,19
Iowa,1993,21,17
Kansas,1993,22,25
Kentucky,1993,17,20
Louisiana,1993,22,17
Maine,1993,0,0
Maryland,1993,16,15
Massachusetts,1993,0,0
Michigan,1993,55,39
Minnesota,1993,39,37
Mississippi,1993,20,24
Missouri,1993,50,39
Montana,1993,24,10
Nebraska,1993,17,16
Nevada,1993,26,25
New Hampshire,1993,0,0
New Jersey,1993,0,0
New Mexico,1993,24,31
New York,1993,47,43
North Carolina,1993,33,40
North Dakota,1993,14,1
Ohio,1993,41,34
Oklahoma,1993,20,16
Oregon,1993,39,42
Other Foreign,1993,0,0
Pacific Ocean,1993,0,0
Pennsylvania,1993,44,37
Puerto Rico,1993,0,0
Rhode Island,1993,0,0
South Carolina,1993,22,15
South Dakota,1993,11,11
Tennessee,1993,23,24
Texas,1993,120,90
Utah,1993,33,22
Vermont,1993,0,0
Virginia,1993,26,23
Washington,1993,64,43
West Virginia,1993,10,8
Wisconsin,1993,47,30
Wyoming,1993,23,20
Alabama,1994,23,18
Alaska,1994,131,74
Arizona,1994,58,45
Arkansas,1994,50,25
Atlantic Ocean,1994,0,0
California,1994,218,253
Caribbean Sea,1994,0,0
Colorado,1994,58,59
Connecticut,1994,0,0
Delaware,1994,6,5
District of Columbia,1994,0,0
Florida,1994,128,108
Georgia,1994,39,26
Gulf of Mexico,1994,0,0
Hawaii,1994,14,21
Idaho,1994,36,26
Illinois,1994,52,46
Indiana,1994,30,23
Iowa,1994,15,15
Kansas,1994,31,23
Kentucky,1994,12,13
Louisiana,1994,22,23
Maine,1994,0,0
Maryland,1994,17,22
Massachusetts,1994,0,0
Michigan,1994,50,52
Minnesota,1994,39,30
Mississippi,1994,18,19
Missouri,1994,38,35
Montana,1994,26,14
Nebraska,1994,19,25
Nevada,1994,34,52
New Hampshire,1994,0,0
New Jersey,1994,0,0
New Mexico,1994,26,28
New York,1994,49,70
North Carolina,1994,45,103
North Dakota,1994,22,7
Ohio,1994,51,52
Oklahoma,1994,27,25
Oregon,1994,43,32
Other Foreign,1994,0,0
Pacific Ocean,1994,0,0
Pennsylvania,1994,37,178
Puerto Rico,1994,0,0
Rhode Island,1994,0,0
South Carolina,1994,24,16
South Dakota,1994,9,4
Tennessee,1994,25,22
Texas,1994,107,106
Utah,1994,28,29
Vermont,1994,0,0
Virginia,1994,17,23
Washington,1994,64,45
West Virginia,1994,8,11
Wisconsin,1994,37,32
Wyoming,1994,18,17
Alabama,1995,37,30
Alaska,1995,166,88
Arizona,1995,62,65
Arkansas,1995,54,33
Atlantic Ocean,1995,0,0
California,1995,217,179
Caribbean Sea,1995,0,0
Colorado,1995,70,59
Connecticut,1995,0,0
Delaware,1995,1,0
District of Columbia,1995,1,0
Florida,1995,106,104
Georgia,1995,36,75
Gulf of Mexico,1995,0,0
Hawaii,1995,11,16
Idaho,1995,33,22
Illinois,1995,37,33
Indiana,1995,30,21
Iowa,1995,10,11
Kansas,1995,32,27
Kentucky,1995,8,6
Louisiana,1995,22,12
Maine,1995,0,0
Maryland,1995,24,13
Massachusetts,1995,0,0
Michigan,1995,51,33
Minnesota,1995,35,20
Mississippi,1995,33,19
Missouri,1995,33,32
Montana,1995,24,6
Nebraska,1995,14,7
Nevada,1995,20,14
New Hampshire,1995,0,0
New Jersey,1995,0,0
New Mexico,1995,35,29
New York,1995,53,107
North Carolina,1995,33,19
North Dakota,1995,13,7
Ohio,1995,46,35
Oklahoma,1995,37,27
Oregon,1995,52,31
Other Foreign,1995,0,0
Pacific Ocean,1995,0,0
Pennsylvania,1995,51,39
Puerto Rico,1995,0,0
Rhode Island,1995,0,0
South Carolina,1995,28,29
South Dakota,1995,12,21
Tennessee,1995,38,44
Texas,1995,147,144
Utah,1995,22,20
Vermont,1995,0,0
Virginia,1995,28,40
Washington,1995,66,64
West Virginia,1995,4,6
Wisconsin,1995,39,63
Wyoming,1995,14,19
Alabama,1996,31,25
Alaska,1996,155,91
Arizona,1996,64,72
Arkansas,1996,40,33
Atlantic Ocean,1996,0,0
California,1996,194,160
Caribbean Sea,1996,0,0
Colorado,1996,80,56
Connecticut,1996,0,0
Delaware,1996,1,2
District of Columbia,1996,1,0
Florida,1996,119,112
Georgia,1996,38,30
Gulf of Mexico,1996,0,0
Hawaii,1996,11,12
Idaho,1996,33,32
Illinois,1996,41,52
Indiana,1996,29,27
Iowa,1996,14,9
Kansas,1996,30,11
Kentucky,1996,18,15
Louisiana,1996,36,26
Maine,1996,0,0
Maryland,1996,26,27
Massachusetts,1996,0,0
Michigan,1996,56,44
Minnesota,1996,39,20
Mississippi,1996,20,16
Missouri,1996,25,25
Montana,1996,22,13
Nebraska,1996,14,11
Nevada,1996,20,14
New Hampshire,1996,0,0
New Jersey,1996,0,0
New Mexico,1996,32,18
New York,1996,47,309
North Carolina,1996,30,25
North Dakota,1996,18,6
Ohio,1996,41,42
Oklahoma,1996,31,20
Oregon,1996,58,46
Other Foreign,1996,0,0
Pacific Ocean,1996,0,0
Pennsylvania,1996,35,43
Puerto Rico,1996,0,0
Rhode Island,1996,0,0
South Carolina,1996,18,18
South Dakota,1996,11,6
Tennessee,1996,29,29
Texas,1996,120,108
Utah,1996,26,15
Vermont,1996,0,0
Virginia,1996,23,36
Washington,1996,62,39
West Virginia,1996,12,15
Wisconsin,1996,33,17
Wyoming,1996,15,8
Alabama,1997,17,13
Alaska,1997,144,88
Arizona,1997,63,42
Arkansas,1997,33,25
Atlantic Ocean,1997,0,0
California,1997,155,139
Caribbean Sea,1997,0,0
Colorado,1997,64,60
Connecticut,1997,0,0
Delaware,1997,3,2
District of Columbia,1997,0,0
Florida,1997,126,114
Georgia,1997,34,36
Gulf of Mexico,1997,0,0
Hawaii,1997,14,80
Idaho,1997,30,28
Illinois,1997,40,42
Indiana,1997,34,30
Iowa,1997,20,8
Kansas,1997,30,18
Kentucky,1997,11,8
Louisiana,1997,26,21
Maine,1997,0,0
Maryland,1997,25,24
Massachusetts,1997,0,0
Michigan,1997,47,72
Minnesota,1997,34,17
Mississippi,1997,19,10
Missouri,1997,31,27
Montana,1997,28,30
Nebraska,1997,14,8
Nevada,1997,22,23
New Hampshire,1997,0,0
New Jersey,1997,0,0
New Mexico,1997,34,39
New York,1997,33,40
North Carolina,1997,47,32
North Dakota,1997,16,28
Ohio,1997,41,38
Oklahoma,1997,29,22
Oregon,1997,56,62
Other Foreign,1997,0,0
Pacific Ocean,1997,0,0
Pennsylvania,1997,54,55
Puerto Rico,1997,0,0
Rhode Island,1997,0,0
South Carolina,1997,26,27
South Dakota,1997,12,8
Tennessee,1997,31,26
Texas,1997,123,77
Utah,1997,32,28
Vermont,1997,0,0
Virginia,1997,22,17
Washington,1997,58,68
West Virginia,1997,13,10
Wisconsin,1997,31,21
Wyoming,1997,12,3
Alabama,1998,26,19
Alaska,1998,167,85
Arizona,1998,47,27
Arkansas,1998,42,31
Atlantic Ocean,1998,0,0
California,1998,182,158
Caribbean Sea,1998,0,0
Colorado,1998,62,49
Connecticut,1998,0,0
Delaware,1998,3,2
District of Columbia,1998,1,0
Florida,1998,140,97
Georgia,1998,39,27
Gulf of Mexico,1998,0,0
Hawaii,1998,6,7
Idaho,1998,37,28
Illinois,1998,33,26
Indiana,1998,32,21
Iowa,1998,20,22
Kansas,1998,19,14
Kentucky,1998,9,7
Louisiana,1998,23,22
Maine,1998,0,0
Maryland,1998,19,21
Massachusetts,1998,0,0
Michigan,1998,47,29
Minnesota,1998,36,29
Mississippi,1998,20,11
Missouri,1998,24,22
Montana,1998,35,20
Nebraska,1998,26,17
Nevada,1998,28,27
New Hampshire,1998,0,0
New Jersey,1998,0,0
New Mexico,1998,41,55
New York,1998,36,30
North Carolina,1998,31,33
North Dakota,1998,21,10
Ohio,1998,29,27
Oklahoma,1998,39,50
Oregon,1998,39,17
Other Foreign,1998,0,0
Pacific Ocean,1998,0,0
Pennsylvania,1998,38,62
Puerto Rico,1998,0,0
Rhode Island,1998,0,0
South Carolina,1998,28,24
South Dakota,1998,12,10
Tennessee,1998,17,18
Texas,1998,129,115
Utah,1998,33,35
Vermont,1998,1,2
Virginia,1998,26,24
Washington,1998,65,44
West Virginia,1998,7,9
Wisconsin,1998,43,40
Wyoming,1998,18,8
Alabama,1999,28,25
Alaska,1999,152,77
Arizona,1999,59,53
Arkansas,1999,44,24
Atlantic Ocean,1999,0,0
California,1999,160,146
Caribbean Sea,1999,0,0
Colorado,1999,84,62
Connecticut,1999,0,0
Delaware,1999,4,2
District of Columbia,1999,1,0
Florida,1999,123,103
Georgia,1999,30,24
Gulf of Mexico,1999,0,0
Hawaii,1999,11,18
Idaho,1999,45,30
Illinois,1999,49,33
Indiana,1999,21,15
Iowa,1999,17,9
Kansas,1999,30,27
Kentucky,1999,12,15
Louisiana,1999,25,19
Maine,1999,0,0
Maryland,1999,24,29
Massachusetts,1999,1,1
Michigan,1999,43,39
Minnesota,1999,32,20
Mississippi,1999,35,22
Missouri,1999,39,26
Montana,1999,24,13
Nebraska,1999,22,11
Nevada,1999,40,37
New Hampshire,1999,0,0
New Jersey,1999,0,0
New Mexico,1999,38,27
New York,1999,40,38
North Carolina,1999,36,26
North Dakota,1999,11,6
Ohio,1999,37,36
Oklahoma,1999,33,33
Oregon,1999,41,31
Other Foreign,1999,0,0
Pacific Ocean,1999,0,0
Pennsylvania,1999,39,32
Puerto Rico,1999,1,0
Rhode Island,1999,0,0
South Carolina,1999,23,25
South Dakota,1999,7,12
Tennessee,1999,25,23
Texas,1999,128,96
Utah,1999,25,9
Vermont,1999,0,0
Virginia,1999,26,23
Washington,1999,65,48
West Virginia,1999,8,17
Wisconsin,1999,40,31
Wyoming,1999,20,13
Alabama,2000,15,14
Alaska,2000,131,80
Arizona,2000,55,54
Arkansas,2000,23,16
Atlantic Ocean,2000,0,0
California,2000,203,314
Caribbean Sea,2000,0,0
Colorado,2000,69,44
Connecticut,2000,0,0
Delaware,2000,2,0
District of Columbia,2000,0,0
Florida,2000,122,120
Georgia,2000,40,41
Gulf of Mexico,2000,0,0
Hawaii,2000,15,28
Idaho,2000,34,30
Illinois,2000,40,26
Indiana,2000,33,16
Iowa,2000,10,8
Kansas,2000,18,19
Kentucky,2000,13,21
Louisiana,2000,23,12
Maine,2000,2,7
Maryland,2000,16,8
Massachusetts,2000,4,7
Michigan,2000,43,32
Minnesota,2000,39,24
Mississippi,2000,24,18
Missouri,2000,30,20
Montana,2000,28,19
Nebraska,2000,11,5
Nevada,2000,43,36
New Hampshire,2000,0,0
New Jersey,2000,3,2
New Mexico,2000,37,30
New York,2000,43,28
North Carolina,2000,40,36
North Dakota,2000,11,3
Ohio,2000,44,40
Oklahoma,2000,28,19
Oregon,2000,55,35
Other Foreign,2000,0,0
Pacific Ocean,2000,0,0
Pennsylvania,2000,47,62
Puerto Rico,2000,0,0
Rhode Island,2000,1,3
South Carolina,2000,18,28
South Dakota,2000,12,9
Tennessee,2000,26,23
Texas,2000,133,118
Utah,2000,44,37
Vermont,2000,0,0
Virginia,2000,33,25
Washington,2000,67,39
West Virginia,2000,7,7
Wisconsin,2000,31,31
Wyoming,2000,19,11
Alabama,2001,24,31
Alaska,2001,131,69
Arizona,2001,61,46
Arkansas,2001,21,24
Atlantic Ocean,2001,0,0
California,2001,177,131
Caribbean Sea,2001,0,0
Colorado,2001,67,80
Connecticut,2001,14,9
Delaware,2001,2,1
